EXPECEDU_BACHELORS,Growth_str_agree,Growth_agree,Growth_disagree,LANG_of_test,Grade_9,Grade_10,Female,CNTSTUID,BELONG,BULLIED,ESCS,FAMSUP
0.0,1.0,0,0.0,1.0,0,1,0.0,84000104,2.2967,-0.4588,-0.2697,-1.4886
0.0,0.0,0,1.0,1.0,0,1,1.0,84000105,0.1873,-1.228,0.6021,1.0254
0.0,0.0,0,0.0,0.0,0,1,0.0,84000109,-0.6974,-1.228,-1.2829,-0.9355
0.0,0.0,0,1.0,0.0,0,1,0.0,84000110,-1.044,0.2988,-1.0376,-0.2666
0.0,0.0,1,0.0,1.0,0,1,1.0,84000112,-1.7108,-1.1908,-1.2472,-0.3594
,,0,,,1,0,1.0,84000115,,,,
,0.0,1,0.0,1.0,1,0,0.0,84000116,0.3525,-0.391,0.5679,-0.3138
1.0,0.0,1,0.0,1.0,0,1,1.0,84000117,-1.365,1.6101,1.2099,-0.0238
,0.0,0,0.0,1.0,0,1,0.0,84000119,,,1.5487,
1.0,0.0,1,0.0,1.0,0,0,1.0,84000120,-0.9477,0.5767,-0.296,0.0614
1.0,0.0,0,1.0,1.0,0,1,0.0,84000122,-0.0349,0.6616,0.8209,0.4782
,0.0,0,1.0,1.0,0,1,1.0,84000124,-0.2482,1.0995,2.0988,0.5801
0.0,0.0,1,0.0,0.0,0,1,1.0,84000125,-0.7107,-0.4588,-3.328,-1.1663
0.0,0.0,0,1.0,1.0,0,1,0.0,84000126,-0.3157,-0.391,0.9739,1.6898
,1.0,0,0.0,0.0,0,1,1.0,84000127,-0.338,0.6616,-0.5368,-0.633
1.0,0.0,1,0.0,1.0,1,0,1.0,84000130,-0.3261,1.4845,-0.9462,1.863
,0.0,1,0.0,1.0,0,1,0.0,84000131,0.1689,-1.228,-0.7447,-0.9448
,,0,,,0,1,0.0,84000132,,-1.228,,
,0.0,0,1.0,1.0,0,1,1.0,84000133,-0.3261,-1.228,-0.7517,-0.0483
0.0,0.0,1,0.0,0.0,0,1,0.0,84000134,-0.3397,-0.5168,-0.8336,-0.6576
1.0,0.0,0,1.0,1.0,0,0,1.0,84000138,0.3378,-1.228,0.5329,0.2077
0.0,0.0,0,0.0,0.0,0,1,0.0,84000140,-0.5722,,-0.944,-1.3327
1.0,0.0,0,1.0,1.0,0,1,0.0,84000143,-0.2482,0.7725,1.0103,-0.4134
0.0,0.0,1,0.0,1.0,0,0,1.0,84000144,-0.3261,0.7726,0.7841,-0.1945
,0.0,0,0.0,1.0,0,1,1.0,84000146,0.3519,-1.228,-1.1681,0.5181
,0.0,1,0.0,0.0,0,0,0.0,84000147,-0.3261,-1.228,0.159,-0.4298
,,0,,1.0,0,1,1.0,84000148,-0.3485,,-1.6064,-0.2035
0.0,0.0,0,1.0,0.0,0,1,1.0,84000149,0.7356,-1.228,-0.8628,1.6645
,,0,,,0,1,1.0,84000150,,,,
,1.0,0,0.0,1.0,0,1,0.0,84000151,-0.7181,-1.228,-1.1307,-0.0375
1.0,0.0,1,0.0,1.0,0,1,1.0,84000155,-0.3397,1.0855,0.8268,0.8056
1.0,0.0,1,0.0,0.0,0,1,0.0,84000163,-0.7823,-0.1325,0.5756,0.4772
1.0,0.0,0,1.0,0.0,0,1,1.0,84000166,-0.3485,0.2988,0.0566,-1.0471
,0.0,1,0.0,1.0,0,1,1.0,84000167,-0.0325,-1.228,-0.8535,-0.6538
,0.0,1,0.0,1.0,0,1,1.0,84000168,-0.2482,-1.228,-0.5379,1.6765
0.0,0.0,1,0.0,1.0,1,0,1.0,84000171,-0.47,-0.267,-1.0962,0.8458
,0.0,0,1.0,1.0,0,1,0.0,84000176,-0.3261,-1.228,1.1126,1.735
,,0,,,0,1,0.0,84000181,,,,
